ID_Encuestado,Pais,Ronda,Genero,Anio_Nacimiento,Nivel_Educativo,Situacion_Economica,Voluntariado_12m,Donacion_Politica_12m,Capacidad_Rol_Politico,Confianza_ONU,Preocupacion_Clima,Responsabilidad_Clima,Inmigracion_Economia,Inmigracion_Cultura,Inmigracion_Pais_Mejor_Peor
1732.0,AT,9,Mujer,1942.0,Secundaria baja,Saliendo adelante,,,Nada capaz,5,,,,2,2
1746.0,AT,9,Mujer,1982.0,Secundaria alta (baja),Difícil,,,Nada capaz,7,,,4,7,3
1753.0,AT,9,Mujer,1988.0,Máster/Doctorado,Cómodamente,,,Poco capaz,4,,,6,7,6
1766.0,AT,9,Mujer,1972.0,Grado/BA,Cómodamente,,,Bastante capaz,7,,,8,10,7
1775.0,AT,9,Mujer,1968.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,0,,,1,1,1
1804.0,AT,9,Mujer,1972.0,Secundaria baja,Cómodamente,,,Nada capaz,4,,,3,4,4
1840.0,AT,9,Mujer,1978.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,4,,,5,4,3
1863.0,AT,9,Mujer,1970.0,Secundaria alta (baja),Saliendo adelante,,,Muy capaz,1,,,2,4,5
1870.0,AT,9,Hombre,1941.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,0,,,0,7,0
1893.0,AT,9,Mujer,1945.0,Secundaria baja,Difícil,,,Poco capaz,,,,,4,
1903.0,AT,9,Mujer,1965.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,9,,,7,7,5
1924.0,AT,9,Hombre,1993.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,8,,,7,4,6
1942.0,AT,9,Mujer,1940.0,Secundaria baja,Saliendo adelante,,,Nada capaz,7,,,2,2,3
1956.0,AT,9,Mujer,1961.0,Secundaria baja,Saliendo adelante,,,Bastante capaz,8,,,8,8,7
1958.0,AT,9,Mujer,1977.0,Máster/Doctorado,Cómodamente,,,Muy capaz,9,,,8,6,7
1961.0,AT,9,Mujer,1942.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,8,,,7,8,5
1984.0,AT,9,Hombre,2000.0,Secundaria alta (baja),Difícil,,,Nada capaz,5,,,,,4
2042.0,AT,9,Mujer,1986.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,7,,,6,5,5
2103.0,AT,9,Hombre,1940.0,Vocacional avanzado,Saliendo adelante,,,Poco capaz,,,,7,5,5
2127.0,AT,9,Mujer,1989.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,,,,7,7,3
2135.0,AT,9,Mujer,1964.0,Secundaria alta (baja),Difícil,,,Nada capaz,5,,,4,4,4
2153.0,AT,9,Mujer,1948.0,Secundaria alta (baja),Difícil,,,Poco capaz,3,,,6,5,5
2188.0,AT,9,Hombre,1961.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,3,,,5,5,5
2237.0,AT,9,Mujer,1940.0,Secundaria alta (baja),Cómodamente,,,Muy capaz,9,,,5,8,7
2247.0,AT,9,Mujer,1976.0,Máster/Doctorado,Cómodamente,,,Nada capaz,5,,,7,7,5
2284.0,AT,9,Mujer,1945.0,Secundaria alta (baja),Difícil,,,Poco capaz,6,,,6,4,3
2295.0,AT,9,Mujer,1958.0,Secundaria baja,Cómodamente,,,,5,,,5,5,5
2370.0,AT,9,Mujer,1979.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,6,,,4,2,2
2437.0,AT,9,Hombre,1946.0,Secundaria alta (baja),Difícil,,,Poco capaz,6,,,6,5,4
2470.0,AT,9,Hombre,1954.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,7,,,0,0,0
2480.0,AT,9,Mujer,1992.0,Vocacional avanzado,Saliendo adelante,,,Completamente capaz,3,,,0,2,1
2508.0,AT,9,Mujer,1958.0,Secundaria alta (alta),Cómodamente,,,Completamente capaz,4,,,3,2,1
2511.0,AT,9,Hombre,1967.0,Secundaria alta (baja),Saliendo adelante,,,Muy capaz,1,,,0,0,0
2580.0,AT,9,Mujer,1958.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,8,,,7,4,4
2606.0,AT,9,Mujer,1982.0,Vocacional avanzado,Cómodamente,,,Poco capaz,,,,3,2,3
2614.0,AT,9,Hombre,1963.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,8,,,4,0,0
2616.0,AT,9,Mujer,1946.0,Secundaria baja,Difícil,,,Nada capaz,,,,10,10,10
2696.0,AT,9,Hombre,1968.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,8,,,0,5,0
2702.0,AT,9,Mujer,1991.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,7,,,7,7,7
2706.0,AT,9,Mujer,1955.0,Vocacional avanzado,Cómodamente,,,Bastante capaz,10,,,7,5,6
2724.0,AT,9,Mujer,1969.0,Secundaria baja,Cómodamente,,,Nada capaz,,,,5,7,5
2898.0,AT,9,Hombre,1950.0,Secundaria alta (baja),Cómodamente,,,Nada capaz,3,,,5,4,5
2908.0,AT,9,Mujer,1982.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,5,,,3,4,2
2911.0,AT,9,Mujer,1986.0,Máster/Doctorado,Saliendo adelante,,,Bastante capaz,5,,,6,8,8
2926.0,AT,9,Hombre,1986.0,Secundaria alta (baja),Cómodamente,,,Poco capaz,,,,5,5,5
2963.0,AT,9,Mujer,1963.0,Secundaria alta (baja),Cómodamente,,,Muy capaz,4,,,7,9,6
3008.0,AT,9,Hombre,1994.0,Secundaria alta (baja),Cómodamente,,,Nada capaz,2,,,2,2,3
3042.0,AT,9,Mujer,1972.0,Grado/BA,Cómodamente,,,Muy capaz,8,,,8,8,8
3124.0,AT,9,Mujer,1959.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,2,,,0,2,2
3126.0,AT,9,Mujer,1959.0,Vocacional avanzado,Saliendo adelante,,,Nada capaz,1,,,6,5,4
3142.0,AT,9,Mujer,1969.0,Secundaria alta (baja),Saliendo adelante,,,Nada capaz,0,,,0,4,0
3147.0,AT,9,Hombre,1949.0,Máster/Doctorado,Cómodamente,,,Completamente capaz,5,,,8,8,6
3163.0,AT,9,Hombre,1943.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,10,,,,4,3
3171.0,AT,9,Hombre,1944.0,Secundaria alta (baja),Saliendo adelante,,,Bastante capaz,1,,,8,5,3
3173.0,AT,9,Mujer,1939.0,Secundaria baja,Saliendo adelante,,,Poco capaz,7,,,7,3,1
3195.0,AT,9,Mujer,1992.0,Secundaria alta (baja),Saliendo adelante,,,Poco capaz,8,,,9,10,8
3217.0,AT,9,Hombre,1949.0,Secundaria alta (alta),Saliendo adelante,,,Poco capaz,0,,,7,2,5
